Comment,Designator,Footprint,LCSC
"KH-5220-A56","AE1","Resistor_SMD:R_2010_5025Metric_Pad1.52x2.65mm_HandSolder","C504003"
"0402CG4R7C500NT","C10","Capacitor_SMD:C_0402_1005Metric","C1569"
"0402CG1R0C500NT","C11","Capacitor_SMD:C_0402_1005Metric","C1550"
"CL05B104KO5NNNC","C14","Capacitor_SMD:C_0402_1005Metric","C1525"
"CL05A105KA5NQNC","C2,C13","Capacitor_SMD:C_0402_1005Metric","C52923"
"CL05B103KB5NNNC","C3,C15","Capacitor_SMD:C_0402_1005Metric","C15195"
"0402B102K500NT","C1,C4,C12","Capacitor_SMD:C_0402_1005Metric","C1523"
"0402F333M500NT","C5","Capacitor_SMD:C_0402_1005Metric","C1585"
"0402CG220J500NT","C6,C7","Capacitor_SMD:C_0402_1005Metric","C1555"
"0402B222K500NT","C8","Capacitor_SMD:C_0402_1005Metric","C1531"
"0402CG1R5C500NT","C9","Capacitor_SMD:C_0402_1005Metric","C1552"
"RHD2132","D1","Package_DFN_QFN:QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm",""
"STM32G071GBU6","D2","STM32F031G4U6:QFN50P400X400X60-28N","C529347"
"LED","D3","LED_SMD:LED_0402_1005Metric",""
"A79027-001","J1","main_block:A79027-001",""
"Li-po 301012","J2,J4","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"Conn_01x04_Male","J3","main_block:debug",""
"A79607-001","J5","main_block:A79607-001",""
"1","J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19","main_block:debug_",""
"SDCL1005C8N2JTDF","L1","Inductor_SMD:L_0402_1005Metric","C16208"
"SDCL1005C3N9STDF","L2","Inductor_SMD:L_0402_1005Metric","C14033"
"SDCL1005C2N7STDF","L3","Inductor_SMD:L_0402_1005Metric","C27123"
"0402WGF1002TCE","R1","Resistor_SMD:R_0402_1005Metric","C25744"
"0402WGF2202TCE","R2","Resistor_SMD:R_0402_1005Metric","C25768"
"0402WGF1004TCE","R3","Resistor_SMD:R_0402_1005Metric","C26083"
"0402WGF3300TCE","R4,R5,R6,R7","Resistor_SMD:R_0402_1005Metric","C25104"
"KTH1601SL-ST3","U1","Package_TO_SOT_SMD:SOT-23","C516265"
"TLV70033DSER","U2,U3","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","C97256"
"nRF24L01P","U4","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","C8791"
"7F16000E12UCG","Y1","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","C252270"
