Reference, Value, Footprint, Datasheet, LCSC
"U4","nRF24L01P","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf","C8791"
"D2","STM32G071GBU6","STM32F031G4U6:QFN50P400X400X60-28N","","C529347"
"J1","A79027-001","main_block:A79027-001","https://www.cseonline.com.au/A79027-001.html"
"J2","Li-po 301012","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~"
"D1","RHD2132","Package_DFN_QFN:QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm","http://intantech.com/products_RHD2000.html"
"Y1","7F16000E12UCG","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","C252270"
"U2","TLV70033DSER","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tlv700.pdf","C97256"
"U3","TLV70033DSER","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tlv700.pdf","C97256"
"U1","KTH1601SL-ST3","Package_TO_SOT_SMD:SOT-23","http://www.allegromicro.com/en/Products/Part_Numbers/1101/1101.pdf","C516265"
"AE1","KH-5220-A56","Resistor_SMD:R_2010_5025Metric_Pad1.52x2.65mm_HandSolder","~","C504003"
"J3","Conn_01x04_Male","main_block:debug","~"
"C3","CL05B103KB5NNNC","Capacitor_SMD:C_0402_1005Metric","~","C15195"
"C4","0402B102K500NT","Capacitor_SMD:C_0402_1005Metric","~","C1523"
"C5","0402F333M500NT","Capacitor_SMD:C_0402_1005Metric","~","C1585"
"C7","0402CG220J500NT","Capacitor_SMD:C_0402_1005Metric","~","C1555"
"C6","0402CG220J500NT","Capacitor_SMD:C_0402_1005Metric","~","C1555"
"C8","0402B222K500NT","Capacitor_SMD:C_0402_1005Metric","~","C1531"
"C10","0402CG4R7C500NT","Capacitor_SMD:C_0402_1005Metric","~","C1569"
"C9","0402CG1R5C500NT","Capacitor_SMD:C_0402_1005Metric","~","C1552"
"C11","0402CG1R0C500NT","Capacitor_SMD:C_0402_1005Metric","~","C1550"
"L1","SDCL1005C8N2JTDF","Inductor_SMD:L_0402_1005Metric","~","C16208"
"L2","SDCL1005C3N9STDF","Inductor_SMD:L_0402_1005Metric","~","C14033"
"L3","SDCL1005C2N7STDF","Inductor_SMD:L_0402_1005Metric","~","C27123"
"R2","0402WGF2202TCE","Resistor_SMD:R_0402_1005Metric","~","C25768"
"R3","0402WGF1004TCE","Resistor_SMD:R_0402_1005Metric","~","C26083"
"C1","0402B102K500NT","Capacitor_SMD:C_0402_1005Metric","~","C1523"
"R1","0402WGF1002TCE","Resistor_SMD:R_0402_1005Metric","~","C25744"
"C2","CL05A105KA5NQNC","Capacitor_SMD:C_0402_1005Metric","~","C52923"
"C12","0402B102K500NT","Capacitor_SMD:C_0402_1005Metric","~","C1523"
"C13","CL05A105KA5NQNC","Capacitor_SMD:C_0402_1005Metric","~","C52923"
"C15","CL05B103KB5NNNC","Capacitor_SMD:C_0402_1005Metric","~","C15195"
"C14","CL05B104KO5NNNC","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"R4","0402WGF3300TCE","Resistor_SMD:R_0402_1005Metric","~","C25104"
"D3","LED","LED_SMD:LED_0402_1005Metric","~"
"J4","Li-po 301012","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~"
"R5","0402WGF3300TCE","Resistor_SMD:R_0402_1005Metric","~","C25104"
"R6","0402WGF3300TCE","Resistor_SMD:R_0402_1005Metric","~","C25104"
"R7","0402WGF3300TCE","Resistor_SMD:R_0402_1005Metric","~","C25104"
"J5","A79607-001","main_block:A79607-001","https://www.cseonline.com.au/A79607-001.html"
"J6","1","main_block:debug_","~"
"J7","1","main_block:debug_","~"
"J8","1","main_block:debug_","~"
"J9","1","main_block:debug_","~"
"J10","1","main_block:debug_","~"
"J11","1","main_block:debug_","~"
"J12","1","main_block:debug_","~"
"J13","1","main_block:debug_","~"
"J14","1","main_block:debug_","~"
"J15","1","main_block:debug_","~"
"J16","1","main_block:debug_","~"
"J17","1","main_block:debug_","~"
"J18","1","main_block:debug_","~"
"J19","1","main_block:debug_","~"
